Date,Ordered Product Sales,Ordered Product Sales - B2B,Units Ordered,Units Ordered - B2B,Total Order Items,Total Order Items - B2B,Average Sales per Order Item,Average Sales per Order Item - B2B,Average Units per Order Item,Average Units per Order Item - B2B,Average Selling Price,Average Selling Price - B2B,Sessions - Total,Sessions - Total - B2B,Order Item Session Percentage,Order Item Session Percentage - B2B,Average Offer Count
9/1/24,"$72,159.03","$1,377.90","6,400",136,"5,411",101,$13.34,$13.64,1.18,1.35,$11.27,$10.13,"12,293",185,44.02%,54.59%,467
9/2/24,"$76,853.81","$1,421.09","6,789",135,"5,820",108,$13.21,$13.16,1.17,1.25,$11.32,$10.53,"13,722",219,42.41%,49.32%,465
9/3/24,"$71,877.10","$2,069.89","6,363",197,"5,389",138,$13.34,$15.00,1.18,1.43,$11.30,$10.51,"12,521",230,43.04%,60.00%,464
9/4/24,"$71,233.90","$1,687.35","6,337",173,"5,428",130,$13.12,$12.98,1.17,1.33,$11.24,$9.75,"12,776",244,42.49%,53.28%,464
9/5/24,"$68,075.37","$1,950.93","6,090",194,"5,200",137,$13.09,$14.24,1.17,1.42,$11.18,$10.06,"12,393",241,41.96%,56.85%,465
9/6/24,"$63,072.51","$1,551.77","5,652",168,"4,887",135,$12.91,$11.49,1.16,1.24,$11.16,$9.24,"11,499",216,42.50%,62.50%,465
9/7/24,"$65,584.80","$1,364.64","5,836",135,"5,000",89,$13.12,$15.33,1.17,1.52,$11.24,$10.11,"11,723",172,42.65%,51.74%,465
9/8/24,"$77,408.14","$1,175.74","6,870",116,"5,830",81,$13.28,$14.52,1.18,1.43,$11.27,$10.14,"13,367",190,43.61%,42.63%,463
9/9/24,"$73,146.68","$2,053.71","6,494",214,"5,497",151,$13.31,$13.60,1.18,1.42,$11.26,$9.60,"14,401",241,38.17%,62.66%,461
9/10/24,"$71,161.87","$2,622.59","6,308",250,"5,263",146,$13.52,$17.96,1.20,1.71,$11.28,$10.49,"12,897",231,40.81%,63.20%,464
9/11/24,"$66,806.69","$1,545.03","5,950",158,"5,142",119,$12.99,$12.98,1.16,1.33,$11.23,$9.78,"12,352",223,41.63%,53.36%,467
9/12/24,"$69,213.22","$1,417.75","6,232",158,"5,243",123,$13.20,$11.53,1.19,1.28,$11.11,$8.97,"12,245",228,42.82%,53.95%,468
9/13/24,"$65,076.41","$1,312.99","5,819",139,"4,963",112,$13.11,$11.72,1.17,1.24,$11.18,$9.45,"11,286",208,43.97%,53.85%,471
9/14/24,"$65,402.28","$1,081.28","5,860",113,"4,974",90,$13.15,$12.01,1.18,1.26,$11.16,$9.57,"11,430",190,43.52%,47.37%,473
9/15/24,"$84,246.14","$1,306.21","7,468",131,"6,246",98,$13.49,$13.33,1.20,1.34,$11.28,$9.97,"13,084",176,47.74%,55.68%,473
9/16/24,"$75,585.12","$1,664.75","6,688",181,"5,739",139,$13.17,$11.98,1.17,1.30,$11.30,$9.20,"13,111",227,43.77%,61.23%,473
9/17/24,"$71,429.20","$1,402.32","6,331",158,"5,370",137,$13.30,$10.24,1.18,1.15,$11.28,$8.88,"12,974",243,41.39%,56.38%,467
9/18/24,"$73,620.01","$1,692.09","6,565",174,"5,441",130,$13.53,$13.02,1.21,1.34,$11.21,$9.72,"12,890",216,42.21%,60.19%,467
9/19/24,"$68,459.55","$1,934.00","6,109",234,"5,082",128,$13.47,$15.11,1.20,1.83,$11.21,$8.26,"12,047",254,42.18%,50.39%,470
9/20/24,"$64,334.69","$1,616.69","5,713",166,"4,797",138,$13.41,$11.72,1.19,1.20,$11.26,$9.74,"11,028",174,43.50%,79.31%,474
9/21/24,"$63,347.43","$1,797.27","5,594",172,"4,738",100,$13.37,$17.97,1.18,1.72,$11.32,$10.45,"11,152",165,42.49%,60.61%,474
